Game,ID
"Bases Loaded '96 - Double Header (USA)",T-5703H   V1.001
"Batman Forever - The Arcade Game (Europe)",T-8140H-50V1.000
"Batman Forever - The Arcade Game (Japan)",T-8118G   V1.000
"Batman Forever - The Arcade Game (USA)",T-8140H   V1.000
"Batsugun (Japan)",T-20605G  V1.001
"Battle Arena Toshinden Remix (Europe)",MK-81029V1.000  
"Battle Arena Toshinden Remix (USA)",MK-81029V1.000  
"Battle Arena Toshinden URA - Ultimate Revenge Attack (Europe)",MK-81054  V1.000
"Battle Arena Toshinden URA - Ultimate Revenge Attack (USA)",MK-81054  V1.000
"Battle Athletess Daiundoukai (Japan)",T-24601G  V1.002
"Battle Garegga (Japan)",T-10627G  V1.000
"Battle Monsters (Europe)",T-8137H-50V1.000
"Battle Monsters (Japan)",T-18701G  V1.001
"Battle Monsters (USA)",T-8137H   V1.000
"Battle Stations (Europe) (En,Fr,De)",T-5021H   V1.000
"Battle Stations (USA)",T-5021H   V1.000
"BattleSport (USA)",T-8149H   V1.000
"Beach de Riichi! (Japan)",T-29004G  V1.002
"Bedlam (USA) (Proto) (1997-08-11)",T-25407H45V1.100
"Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (1M)",T-16704G  V1.000
"Big Ichigeki! Pachi-Slot Daikouryaku - Universal Museum (Japan) (Rev A) (10M)",T-16704G  V2.000
"Big Thanks - Super Keirin - Dream with Keirin 50 Years (Japan)",6106987   V1.002
"Bio Hazard (Japan)",T-1219G   V1.002
"Bishoujo Hanafuda Kikou - Michinoku Hitou Koi Monogatari Special (Japan)",T-36701G  V1.002
"Bishoujo Senshi Sailor Moon SuperS - Various Emotion (Japan)",T-15701G  V1.003
"Black Dawn (Europe)",T-7027H-50V1.000
"Black Dawn (Japan)",T-7013G   V1.000
"Black Dawn (USA)",T-7027H   V1.002
"Black-Matrix (Japan)",T-20113G  V1.000
"Black-Matrix (Japan) (Rerelease)",T-20115G  V1.001
"BlackFire (Europe)",T-7011H-50V1.000
"BlackFire (Japan)",T-7003G   V1.001
"BlackFire (USA) (2S)",MK-81003  V1.032
"BlackFire (USA) (3S)",MK-81003  V1.032
"Blam! Machinehead (Europe)",T-11505H50V1.000
"Blam! Machinehead (France)",T-11505H50V1.000
"Blam! Machinehead (Germany)",T-11505H50V1.000
"Blam! Machinehead (Japan)",T-7015G   V1.000
"Blast Chamber (Europe) (En,Fr,De,Es,It)",T-13003H50V1.000
"Blast Chamber (USA)",T-13003H  V1.000
"Blast Wind (Japan)",T-1810G   V1.003
"Blazing Dragons (Europe)",T-15913H50V1.000
"Blazing Dragons (France)",T-15913H09V1.000
"Blazing Dragons (Germany)",T-15913H18V1.000
"Blazing Dragons (USA)",T-15907H  V1.000
"Blazing Heroes (USA)",MK-81303  V1.000
"Blood Factory (Japan)",T-12504G  V1.001
"Blue Breaker - Ken yori mo Hohoemi o (Japan)",T-4315G   V1.004
"Blue Breaker - Ken yori mo Hohoemi o (Japan) (Demo)",6106719   V0.008
"Blue Seed - Kushinada Hirokuden (Japan)",GS-9014   V1.007
"Bomberman Wars (Japan)",T-14320G  V1.000
